year,month,region,temp_anomaly,co2,ch4,n2o,tsi,owid_co2,owid_co2_luc,owid_primary_energy,aerosol_optical_depth,decimal_year,time_since_baseline,co2_growth,co2_ma12,ch4_growth,ch4_ma12,n2o_growth,n2o_ma12,temp_ma12,aerosol_log,aerosol_ma12,tsi_anomaly,month_sin,month_cos,co2_norm,ch4_norm,n2o_norm,co2_growth_norm,ch4_growth_norm,n2o_growth_norm,co2_ma12_norm,ch4_ma12_norm,n2o_ma12_norm,tsi_norm,tsi_anomaly_norm,aerosol_optical_depth_norm,aerosol_log_norm,aerosol_ma12_norm,owid_co2_norm,owid_co2_luc_norm,owid_primary_energy_norm,time_since_baseline_norm,month_sin_norm,month_cos_norm,co2_lag1,ch4_lag1,n2o_lag1,tsi_lag1,co2_pct_growth,ch4_pct_growth,n2o_pct_growth,co2_ch4_interaction,human_vs_natural,volcanic_flag
2002,5,Northern_Extratropics,0.845,373.71,1770.28,316.85,1362.1769104003906,26265.332,32359.027,113894.43,0.0,2002.3333333333333,23.333333333333258,1.9499999999999889,371.3283333333333,-0.6000000000001364,1771.2891666666665,0.7400000000000091,316.6608333333333,0.8670833333333334,0.0,0.0,0.5545965830485784,0.4999999999999999,-0.8660254037844387,-1.5074927865839307,-1.17478703048701,-1.5141563285253028,-0.6169323056279725,-1.4440803965682396,-0.7537201598602588,-1.613419378355916,-1.1328327537133476,-1.4933730066411477,1.4862467633167522,1.4862467633167231,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.674974683154843,0.7068505366478971,-1.2243010428314849,373.73,1772.74,316.9,1362.1678161621094,-0.0053514569341661655,-0.1387682344844765,-0.01577784790153247,661571.3387999999,-2.9937395499006536,0
2002,6,Northern_Extratropics,0.735,372.84,1766.89,316.83,1362.186004638672,26265.332,32359.027,113894.43,0.0,2002.4166666666667,23.416666666666742,2.009999999999991,371.4958333333333,0.790000000000191,1771.3550000000002,0.6699999999999591,316.71666666666664,0.8624999999999999,0.0,0.0,0.5636908213298284,1.2246467991473532e-16,-1.0,-1.565428734533734,-1.2423490350148885,-1.5173105827835396,-0.5015188512538288,-1.1756687516522213,-1.0333260256150838,-1.602146230647031,-1.131470302352871,-1.4844687653581288,1.509708989040946,1.50970898904033,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.6624280563147096,2.127077372308945e-16,-1.4137010732957944,373.71,1770.28,316.85,1362.1769104003906,-0.23280083487196013,-0.19149513071378133,-0.006312135079700187,658767.2676,-3.075137723574064,0
2002,7,Northern_Extratropics,0.815,371.41,1764.26,316.82,1362.1697235107422,26265.332,32359.027,113894.43,0.0,2002.5,23.5,1.9600000000000364,371.6591666666666,1.240000000000009,1771.4583333333333,0.589999999999975,316.7658333333333,0.85875,0.0,0.0,0.5474096934001409,-0.4999999999999997,-0.8660254037844388,-1.6606567869109936,-1.294764395459825,-1.5188877099126536,-0.5976967298988578,-1.0887728953845013,-1.352875586477449,-1.5911535094980689,-1.1293317711035369,-1.4766277170641262,1.4677053064110157,1.4677053064109866,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.6498814294746098,-0.7068505366478968,-1.2243010428314849,372.84,1766.89,316.83,1362.186004638672,-0.38354253835424235,-0.14884910775431193,-0.0031562667676676703,655263.8066,-3.1283620933219805,0
2002,8,Northern_Extratropics,0.735,370.35,1766.98,316.82,1362.1280670166016,26265.332,32359.027,113894.43,0.0,2002.5833333333333,23.583333333333258,2.0400000000000205,371.82916666666665,2.470000000000028,1771.6641666666667,0.5199999999999818,316.80916666666667,0.8574999999999999,0.0,0.0,0.5057531992595159,-0.8660254037844385,-0.5000000000000004,-1.731245413148685,-1.2405553534787517,-1.5188877099126536,-0.443812124066702,-0.8512575549193003,-1.6324814522320472,-1.5797121058532226,-1.125071954824605,-1.4697169626355129,1.3602357154287217,1.3602357154286926,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.63733480263451,-1.2243010428314844,-0.7068505366478978,371.41,1764.26,316.82,1362.1697235107422,-0.28539888532888025,0.15417228753131784,0.0,654401.0430000001,-3.0914811285773776,0
2002,9,Northern_Extratropics,0.835,370.67,1773.76,316.87,1362.086410522461,26265.332,32359.027,113894.43,0.0,2002.6666666666667,23.666666666666742,2.3100000000000023,372.0216666666667,3.3199999999999363,1771.940833333333,0.4599999999999795,316.8475,0.8620833333333334,0.0,0.0,0.4640967051188909,-1.0,-1.8369701987210292e-16,-1.709935639190137,-1.1054313444229902,-1.5110020742670751,0.0755484206168921,-0.6871209375246692,-1.872143622878878,-1.5667563987847963,-1.119346209866697,-1.4636036029486612,1.252766124446427,1.2527661244463986,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.6247881757943765,-1.4137010732957944,-1.9281732581181854e-16,370.35,1766.98,316.82,1362.1280670166016,0.086404752261382,0.38370553147177855,0.015781831955052894,657479.6192000001,-2.9627017636365354,0
2002,10,Northern_Extratropics,0.745,371.95,1778.26,316.99,1362.0447540283203,26265.332,32359.027,113894.43,0.0,2002.75,23.75,2.240000000000009,372.2083333333333,2.769999999999982,1772.1716666666669,0.4000000000000341,316.8808333333333,0.8608333333333333,0.0,0.0,0.4224402109782659,-0.8660254037844386,0.5000000000000001,-1.6246965433559457,-1.0157472676160686,-1.49207654871769,-0.0591006094862578,-0.7933269840741389,-2.1118057935254817,-1.5541932889002688,-1.1145690069951766,-1.458287638003581,1.1452965334641327,1.1452965334641043,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.6122415489542763,-1.2243010428314844,0.7068505366478973,370.67,1773.76,316.87,1362.086410522461,0.34532063560579473,0.2536983582897445,0.03787042004608221,661423.807,-2.7699930768200502,0
2002,11,Northern_Extratropics,0.7949999999999999,373.28,1779.49,317.13,1362.0030975341797,26265.332,32359.027,113894.43,0.0,2002.8333333333333,23.833333333333258,2.2199999999999704,372.3933333333334,2.910000000000082,1772.4141666666667,0.3700000000000045,316.9116666666667,0.8445833333333334,0.0,0.0,0.3807837168376409,-0.5000000000000004,0.8660254037844384,-1.5361277953407304,-0.9912336199555096,-1.4699967689100777,-0.0975717609443787,-0.7662927176797069,-2.231636878849011,-1.5417423496397027,-1.1095503570471297,-1.4533703704293726,1.0378269424818385,1.0378269424818105,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.5996949221141767,-0.7068505366478978,1.2243010428314842,371.95,1778.26,316.99,1362.0447540283203,0.35757494286865477,0.06916873797981893,0.04416543108614057,664248.0272,-2.573954737822541,0
2002,12,Northern_Extratropics,0.645,374.26,1779.64,317.24,1361.961441040039,26265.332,32359.027,113894.43,0.0,2002.9166666666667,23.916666666666742,2.2799999999999727,372.5833333333333,3.7200000000000273,1772.7241666666669,0.3700000000000045,316.94250000000005,0.8300000000000001,0.0,0.0,0.3391272226970159,-2.4492935982947064e-16,1.0,-1.470866612592675,-0.9882441507286104,-1.4526483704898066,0.0178416934297654,-0.609880176397758,-2.231636878849011,-1.5289548985072372,-1.1031347632991029,-1.4484531028551642,0.930357351499544,0.930357351499516,0.0,0.0,0.0,-2.2246200433908974,-2.4528198311086045,-1.9603980342541736,-1.587148295274043,-3.0667761107796726e-16,1.4137010732957944,373.28,1779.49,317.13,1362.0030975341797,0.2625375053579182,0.008429381452002005,0.03468609087755592,666048.0664,-2.401223964092191,0
2003,1,Northern_Extratropics,0.9666666666666668,374.94,1777.54,317.29,1361.9197845458984,27652.691,34973.902,117849.602,0.0,2003.0,24.0,2.430000000000007,372.78583333333336,3.4200000000000728,1773.0091666666667,0.3600000000000136,316.9725,0.8301388888888889,0.0,0.0,0.2974707285563909,0.4999999999999999,0.8660254037844387,-1.4255833429307594,-1.0300967199051767,-1.444762734844228,0.3063753293651806,-0.6678107472429194,-2.2715805739567783,-1.5153261676949974,-1.0972365561436652,-1.4436687344045918,0.8228877605172495,0.8228877605172221,0.0,0.0,0.0,-1.816681346809776,-1.5659601290280998,-1.7286278279357343,-1.5746016684339432,0.7068505366478971,1.2243010428314849,374.26,1779.64,317.24,1361.961441040039,0.18169187196066527,-0.11800139354027905,0.01576093809103618,666470.8476,-2.2484711034479816,0
2003,2,Northern_Extratropics,0.8066666666666666,375.47,1774.83,317.34,1361.8781280517578,27652.691,34973.902,117849.602,0.0,2003.0833333333333,24.083333333333258,2.5600000000000023,372.9991666666667,1.9700000000000275,1773.1733333333334,0.3699999999999477,317.00333333333333,0.8152777777777777,0.0,0.0,0.2558142344157659,0.8660254037844386,0.5000000000000001,-1.390289029811912,-1.0841064639377902,-1.4368770991986584,0.5564378138424747,-0.9478085063279172,-2.2316368788492373,-1.5009683278269592,-1.0938390508523728,-1.4387514668303925,0.7154181695349552,0.715418169534928,0.0,0.0,0.0,-1.816681346809776,-1.5659601290280998,-1.7286278279357343,-1.5620550415938437,1.2243010428314844,0.7068505366478973,374.94,1777.54,317.29,1361.9197845458984,0.14135595028539338,-0.15245789124295195,0.015758454410774725,666395.4201,-2.10570719934684,0
